dest_ip,dest_port,metadata_comment
210.211.113.35,80,http
202.169.250.147,8111,http
109.73.177.230,7080,socks5
180.165.49.4,1088,socks5
14.232.228.49,8080,http
45.74.31.42,20487,socks5
45.198.33.65,8080,http
31.163.200.63,4153,socks4
88.255.81.73,5050,http
157.66.67.16,8080,http
147.45.66.116,1082,socks4
46.29.116.6,4145,socks4
8.222.175.80,6128,http
45.74.31.25,5000,socks5
139.84.241.113,1080,http
103.28.112.246,8080,http
45.74.31.40,10810,socks5
111.119.162.248,10908,http
202.52.48.42,4444,http
163.61.187.34,1515,http
212.220.13.98,4153,socks4
139.255.36.82,2080,socks4
45.74.31.30,9492,socks5
160.238.65.5,3128,http
112.198.53.162,8081,http
174.138.165.214,36824,http
43.248.212.25,8080,http
45.74.31.47,26882,socks5
103.80.215.98,8080,http
45.74.31.41,4707,socks5
45.74.31.30,7251,socks5
160.19.18.243,8080,http
185.17.2.127,3128,http
45.74.31.41,14596,socks5
103.191.169.126,8080,http
103.147.247.83,8080,http
45.74.31.42,13851,socks5
45.74.31.30,8667,socks5
222.129.141.199,9000,http
45.74.31.30,6370,socks5
45.74.31.30,8085,socks5
45.74.31.30,7596,socks5
101.255.151.89,8181,http
190.14.231.137,999,http
2.56.178.63,3128,http
23.185.192.66,8181,http
76.26.114.253,39593,socks4
103.183.58.250,8082,http
177.234.217.85,999,http
49.0.2.166,8080,http
45.74.31.30,9464,socks5
185.238.238.49,58080,http
172.210.12.8,3128,http
45.74.31.42,14197,socks5
45.74.31.30,6997,socks5
103.108.146.142,8080,http
221.221.160.159,8888,http
68.189.214.35,80,http
178.153.202.195,8080,http
194.135.38.144,3128,http
87.239.251.202,1081,socks4
201.7.31.186,8080,http
196.64.96.169,1083,http
160.20.37.109,80,socks4
81.0.49.104,20500,http
58.218.169.186,10800,socks4
103.169.128.154,8080,http
103.171.240.134,9595,http
202.87.210.20,57833,socks4
177.234.222.109,999,http
157.20.128.49,8080,http
49.0.0.26,8080,http
103.189.116.6,1111,http
103.147.134.65,8082,http
213.87.101.134,1080,socks4
160.22.205.66,1080,socks4
103.147.135.28,8082,http
103.119.60.219,1080,socks5
103.197.242.106,1080,socks4
45.74.31.42,5294,socks5
36.50.92.149,8080,http
45.123.142.179,8086,http
116.232.80.133,1080,socks4
103.18.77.101,8080,http
169.155.50.87,1080,socks5
180.191.137.251,5050,http
181.57.178.146,1080,socks4
45.74.31.30,9052,socks5
89.191.226.51,1080,socks5
62.217.180.23,8080,http
103.146.185.81,1081,socks4
49.48.43.176,8080,http
45.74.31.30,6492,socks5
160.191.56.1,8082,http
45.61.133.104,7777,http
195.62.50.2,8080,http
47.85.13.198,1080,socks5
126.209.107.170,8082,http
45.74.31.30,10091,socks5
202.136.83.167,8090,http
83.143.29.225,1080,socks4
126.209.107.122,5050,http
112.209.34.97,8085,http
46.50.144.9,8080,http
123.200.15.226,1080,socks4
174.138.162.37,8254,http
174.138.162.36,36830,http
187.85.150.54,5432,socks4
45.74.31.30,7913,socks5
45.43.60.220,8080,http
181.119.190.196,999,http
179.1.182.20,999,http
103.184.62.10,8080,http
200.56.129.234,8080,http
153.124.164.113,8080,http
45.74.31.30,4609,socks5
179.189.248.125,5432,socks4
58.65.167.165,4145,socks4
213.165.43.73,46650,socks5
94.136.185.35,30774,http
103.18.77.64,1080,http
45.61.129.165,9050,socks4
45.74.31.42,14694,socks5
85.133.190.40,8097,http
118.179.144.142,9090,socks5
191.44.125.66,8080,http
103.171.233.130,8080,http
110.38.234.74,1080,socks4
93.182.23.94,6060,http
2.26.117.22,1084,socks4
45.74.31.30,7264,socks5
118.179.102.168,9090,socks5
160.20.39.93,3125,http
103.151.17.209,8080,http
103.208.100.65,8080,http
176.123.169.44,1090,socks5
103.147.77.212,8080,http
45.74.31.30,7806,socks5
45.74.31.41,12110,socks5
45.74.31.30,6610,socks5
45.74.31.42,4351,socks5
160.19.16.101,8181,http
103.39.50.42,8082,http
179.1.182.28,999,http
45.74.31.30,12244,socks5
45.128.184.25,80,http
190.18.170.230,5678,socks4
213.169.52.101,8185,http
45.74.31.42,15253,socks5
77.95.5.3,8080,http
103.142.255.32,8080,http
101.255.164.214,8090,http
174.138.165.202,36137,http
160.238.65.6,3128,http
45.74.31.42,15609,socks5
147.45.72.212,44816,socks4
49.151.178.42,8082,http
103.80.214.243,1111,http
190.153.122.105,999,http
45.74.31.42,14487,socks5
103.165.155.112,2016,http
83.220.46.106,4145,socks4
45.169.148.100,999,http
175.158.40.224,1616,http
162.4.78.55,8080,http
45.74.31.42,4193,socks5
45.74.31.50,5427,socks5
45.61.129.165,9050,socks5
95.214.123.80,8080,http
138.99.248.202,8080,http
39.103.168.253,5980,http
45.74.31.30,11842,socks5
2.26.82.104,8443,http
103.138.123.196,8090,http
91.107.122.209,1080,socks5
80.191.40.130,5678,socks4
45.74.31.41,11273,socks5
45.74.31.30,8180,socks5
78.155.66.84,8080,http
216.243.112.164,999,http
103.174.122.102,3128,http
45.74.31.42,21024,socks5
120.28.70.72,8082,http
185.225.42.81,8080,http
45.74.31.30,7011,socks5
150.107.104.102,1111,http
190.228.33.43,1085,socks4
64.64.152.248,39593,socks4
18.163.182.106,8091,http
45.74.31.30,9779,socks5
103.248.8.35,8090,http
45.74.31.30,7655,socks5
174.138.165.202,20914,http
168.194.34.196,9001,http
45.74.31.42,14209,socks5
95.31.220.59,8080,socks4
134.175.238.113,1080,socks5
116.204.166.148,8080,http
95.214.123.62,8080,http
205.172.58.121,3128,http
45.74.31.42,4871,socks5
46.107.113.63,18080,http
123.139.36.207,8118,http
45.74.31.30,36374,socks5
160.238.65.7,3128,http
45.74.31.30,8859,socks5
156.238.237.121,1080,socks5
185.238.238.29,58080,http
82.137.245.41,1080,socks4
45.74.31.30,10215,socks5
174.138.165.204,33822,http
94.101.187.3,3128,http
45.74.31.30,9681,socks5
193.168.198.240,1080,socks5
181.78.73.18,999,http
117.4.26.246,1080,socks4
114.249.232.222,8888,http
181.119.105.158,999,http
160.30.104.170,1256,http
165.101.102.27,8083,http
91.203.242.66,222,http
60.49.236.13,8080,http
39.101.175.37,17691,http
103.137.35.2,80,http
199.168.131.234,1080,socks5
111.119.162.248,10959,socks5
150.241.105.252,1080,socks4
103.63.26.231,1111,http
81.12.89.74,4153,socks4
185.238.238.121,58080,http
103.176.96.50,8082,http
111.119.162.248,10901,socks4
145.239.80.10,3128,http
45.74.31.30,6989,socks5
45.184.103.162,999,http
118.69.182.184,8082,http
103.247.82.36,8085,http
115.178.49.115,8787,http
157.10.97.153,8080,http
103.172.71.140,8989,http
177.55.68.68,8080,http
45.74.31.42,4202,socks5
79.32.158.19,3128,http
45.74.31.42,11463,socks5
103.86.117.23,8080,http
45.74.31.41,16446,socks5
200.59.191.27,999,http
103.156.57.135,9988,http
198.15.30.206,8080,http
125.122.35.253,8087,http
103.60.139.129,4153,socks4
185.30.43.65,60606,socks4
157.20.239.161,9090,http
5.101.181.130,1081,socks5
163.61.112.243,8080,http
89.43.132.250,8080,http
49.149.208.160,8082,http
103.174.237.190,3125,http
105.214.81.251,5678,socks4
45.74.31.30,6910,socks5
45.168.244.255,9090,http
157.15.210.144,8080,http
172.86.76.137,3128,http
171.103.19.126,8080,http
157.66.16.77,8080,http
201.71.2.26,999,http
187.85.152.42,5432,socks4
187.85.151.57,5432,socks4
125.160.249.179,8080,http
103.39.49.101,1082,socks5
170.80.221.192,4153,socks4
45.74.31.30,7269,socks5
45.74.31.40,13829,socks5
177.131.119.185,5432,socks4
122.52.157.170,8082,http
177.136.124.45,56113,socks4
103.184.98.15,1991,http
163.227.146.108,8081,http
45.74.31.30,7151,socks5
47.110.226.74,19991,http
45.74.31.30,6896,socks5
190.7.19.110,8080,http
27.147.138.166,1080,socks4
103.234.35.159,8080,http
195.133.197.14,3128,http
45.74.31.30,9058,socks5
195.211.124.50,1080,socks5
111.230.27.213,3128,http
152.53.183.107,8081,socks4
45.74.31.30,7904,socks5
47.97.171.33,8080,socks5
18.163.182.106,8081,http
45.74.31.42,11437,socks5
123.112.220.78,8888,http
111.119.162.248,10928,socks4
65.108.203.36,18080,http
45.74.31.30,6301,socks5
45.74.31.47,25496,socks5
45.74.31.30,9441,socks5
111.119.162.248,10916,socks4
45.74.31.42,18657,socks5
